day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2020-05-21,2020-05-21T00:00:00Z,578.0,578.0,22.0,2.822,3.532,,,,,2193.463,2082.0,2352.0,,,3.494,0.151,3.532,,,,,,,,,,,545.083,560.449,0.0,,,,,,,1.0,620.0,578.0,0.0,0.0,578.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,0.0,"solar_v,lipo_v"
2020-05-22,2020-05-22T00:00:00Z,688.0,688.0,24.0,2.802,3.532,,,,,2206.397,2110.0,2334.0,,,3.532,3.532,3.532,,,,,,,,,,,548.019,560.026,0.0,,,,,,,621.0,1326.0,688.0,0.0,0.0,688.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,688.0,0.0,"solar_v,lipo_v"
2020-05-23,2020-05-23T00:00:00Z,707.0,707.0,24.0,2.812,3.532,,,,,2217.874,2124.0,2331.0,,,3.532,3.532,3.532,,,,,,,,,,,558.256,463.989,0.0,,,,,,,1327.0,2034.0,707.0,0.0,0.0,707.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,707.0,0.0,"solar_v,lipo_v"
2020-05-24,2020-05-24T00:00:00Z,707.0,707.0,24.0,2.822,3.532,,,,,2189.657,2019.0,2334.0,,,3.532,3.532,3.532,,,,,,,,,,,552.388,721.819,0.0,,,,,,,2035.0,2743.0,707.0,0.0,0.0,707.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,707.0,0.0,"solar_v,lipo_v"
2020-05-25,2020-05-25T00:00:00Z,684.0,684.0,24.0,2.866,3.532,,,,,2172.055,2052.0,2237.0,,,3.532,3.532,3.532,,,,,,,,,,,557.532,584.532,0.0,,,,,,,2744.0,3448.0,684.0,0.0,0.0,684.0,0.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,684.0,0.0,"solar_v,lipo_v"
2020-05-26,2020-05-26T00:00:00Z,659.0,659.0,24.0,2.652,3.532,,,,,2109.354,1932.0,2181.0,,,3.532,3.532,3.532,,,,,,,,,,,547.129,641.941,0.0,,,,,,,3449.0,4149.0,659.0,0.0,0.0,659.0,0.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,659.0,0.0,"solar_v,lipo_v"
2020-05-27,2020-05-27T00:00:00Z,683.0,683.0,24.0,2.823,3.532,,,,,2217.197,1987.0,2349.0,,,3.532,3.532,3.532,,,,,,,,,,,548.233,500.795,0.0,,,,,,,4150.0,4855.0,683.0,0.0,0.0,683.0,0.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,683.0,0.0,"solar_v,lipo_v"
2020-05-28,2020-05-28T00:00:00Z,679.0,679.0,24.0,2.794,3.532,,,,,2159.544,2053.0,2227.0,,,3.532,3.532,3.532,,,,,,,,,,,548.796,210.677,0.0,,,,,,,4856.0,5560.0,679.0,0.0,0.0,679.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,679.0,0.0,"solar_v,lipo_v"
2020-05-29,2020-05-29T00:00:00Z,645.0,645.0,24.0,2.661,3.532,,,,,2082.227,1943.0,2136.0,,,3.532,3.532,3.532,,,,,,,,,,,545.397,208.288,0.0,,,,,,,5561.0,6260.0,645.0,0.0,0.0,645.0,0.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,645.0,0.0,"solar_v,lipo_v"
2020-05-30,2020-05-30T00:00:00Z,706.0,706.0,24.0,2.664,3.532,,,,,2085.18,1938.0,2136.0,,,3.532,3.532,3.532,,,,,,,,,,,551.506,213.645,0.0,,,,,,,6261.0,6968.0,706.0,0.0,0.0,706.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,706.0,0.0,"solar_v,lipo_v"
