ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2020-05-21T02:00:00Z,4.0,4.0,2.134,2.144,,,,,2143.5,2139.0,2151.0,,,2.687,0.151,3.532,,,,,,,,,,,553.0,1373.0,0.0,,,,,,,1.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,"solar_v,lipo_v"
2020-05-21T03:00:00Z,21.0,21.0,2.124,2.145,,,,,2133.048,2119.0,2154.0,,,3.532,3.532,3.532,,,,,,,,,,,568.952,1879.857,0.0,,,,,,,5.0,33.0,21.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,"solar_v,lipo_v"
2020-05-21T04:00:00Z,25.0,25.0,2.107,2.134,,,,,2117.08,2098.0,2144.0,,,3.532,3.532,3.532,,,,,,,,,,,558.44,1687.72,0.0,,,,,,,34.0,60.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,"solar_v,lipo_v"
2020-05-21T05:00:00Z,26.0,26.0,2.097,2.128,,,,,2106.5,2091.0,2136.0,,,3.532,3.532,3.532,,,,,,,,,,,546.346,1214.077,0.0,,,,,,,64.0,90.0,26.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,"solar_v,lipo_v"
2020-05-21T06:00:00Z,22.0,22.0,1.811,2.11,,,,,2102.682,2084.0,2119.0,,,3.532,3.532,3.532,,,,,,,,,,,552.545,1796.864,0.0,,,,,,,93.0,118.0,22.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,"solar_v,lipo_v"
2020-05-21T07:00:00Z,27.0,27.0,1.926,2.105,,,,,2106.741,2082.0,2119.0,,,3.532,3.532,3.532,,,,,,,,,,,540.148,866.481,0.0,,,,,,,120.0,149.0,27.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,"solar_v,lipo_v"
2020-05-21T08:00:00Z,23.0,23.0,2.075,2.118,,,,,2112.348,2088.0,2124.0,,,3.532,3.532,3.532,,,,,,,,,,,534.087,471.217,0.0,,,,,,,150.0,177.0,23.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,"solar_v,lipo_v"
2020-05-21T09:00:00Z,28.0,28.0,2.08,2.115,,,,,2109.536,2096.0,2124.0,,,3.532,3.532,3.532,,,,,,,,,,,532.179,193.893,0.0,,,,,,,178.0,207.0,28.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,"solar_v,lipo_v"
2020-05-21T10:00:00Z,28.0,28.0,1.978,2.128,,,,,2121.679,2097.0,2134.0,,,3.532,3.532,3.532,,,,,,,,,,,529.786,191.107,0.0,,,,,,,208.0,236.0,28.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,"solar_v,lipo_v"
2020-05-21T11:00:00Z,30.0,30.0,3.364,3.532,,,,,2220.933,2137.0,2240.0,,,3.532,3.532,3.532,,,,,,,,,,,529.333,190.267,0.0,,,,,,,237.0,266.0,30.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,"solar_v,lipo_v"
