day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2021-11-01,2021-11-01T00:00:00Z,556.0,0.0,20.0,6.166,21.15,2.57,11.97,,,12.274,10.57,15.21,,,4.049,3.96,4.13,,,,-6.446,,,,-39.151,0.0,11.603,,,0.704,34.531,31.3,36.6,,,-10.597,1.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-02,2021-11-02T00:00:00Z,666.0,0.0,24.0,8.109,21.04,3.78,11.95,,,12.729,10.57,15.23,,,4.043,3.94,4.13,,,,-6.412,,,,-51.332,0.0,12.06,,,0.716,34.78,33.0,37.1,,,-18.092,582.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-03,2021-11-03T00:00:00Z,671.0,0.0,24.0,7.788,21.06,3.355,12.02,,,12.591,10.56,15.11,,,4.034,3.94,4.13,,,,-6.415,,,,-49.289,0.0,11.936,,,1.667,35.004,33.1,37.2,,,-18.488,1284.0,1987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-04,2021-11-04T00:00:00Z,667.0,0.0,24.0,8.101,21.41,3.41,12.38,,,12.751,10.57,15.21,,,4.039,3.94,4.14,,,,-6.409,,,,-51.229,0.0,12.086,,,2.017,35.036,33.3,37.2,,,-19.685,1988.0,2690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-05,2021-11-05T00:00:00Z,694.0,0.0,24.0,7.671,21.06,2.932,11.99,,,12.611,10.2,15.26,,,4.05,3.94,4.14,,,,-6.395,,,,-48.302,0.0,11.945,,,0.542,33.957,31.8,36.4,,,-18.207,2691.0,3397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-06,2021-11-06T00:00:00Z,710.0,0.0,24.0,8.17,20.88,3.53,12.21,,,12.689,10.58,15.22,,,4.059,3.97,4.14,,,,-6.416,,,,-51.671,0.0,12.021,,,1.787,34.431,32.3,36.6,,,-20.386,3398.0,4107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-07,2021-11-07T00:00:00Z,671.0,0.0,24.0,7.638,20.75,3.149,12.09,,,12.561,10.49,15.24,,,4.041,3.94,4.13,,,,-6.407,,,,-48.218,0.0,11.894,,,1.202,34.585,32.8,36.7,,,-18.683,4108.0,4811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-08,2021-11-08T00:00:00Z,709.0,0.0,24.0,8.197,21.0,3.6,12.2,,,12.694,10.58,15.24,,,4.052,3.95,4.13,,,,-6.421,,,,-51.912,0.0,12.023,,,1.21,35.276,33.4,37.5,,,-20.461,4812.0,5520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-09,2021-11-09T00:00:00Z,676.0,0.0,24.0,6.958,20.78,2.404,11.71,,,12.472,10.43,14.88,,,4.04,3.95,4.13,,,,-6.403,,,,-43.804,0.0,11.807,,,0.002,34.343,32.7,35.8,,,-15.886,5521.0,6224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-10,2021-11-10T00:00:00Z,591.0,0.0,24.0,7.366,21.08,2.966,12.22,,,12.561,10.59,15.09,,,4.022,3.91,4.13,,,,-6.395,,,,-46.383,0.0,11.898,,,0.491,34.162,32.7,35.8,,,-15.51,6225.0,6910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
