ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2021-11-01T04:00:00Z,23.0,0.0,19.02,20.35,10.077,11.97,,,14.655,14.41,15.15,,,4.115,4.08,4.13,,,,-6.348,,,,-120.768,-98.6,13.973,,,0.0,33.943,31.3,34.6,,,-1.543,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T05:00:00Z,29.0,0.0,18.034,20.51,8.905,11.84,,,14.47,13.57,15.21,,,4.115,4.1,4.12,,,,-6.34,,,,-114.44,-86.31,13.782,,,0.476,34.848,34.6,35.0,,,-1.844,24.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T06:00:00Z,24.0,0.0,17.654,20.54,9.434,11.77,,,14.464,13.53,15.08,,,4.118,4.1,4.13,,,,-6.357,,,,-112.31,-86.07,13.755,,,0.0,35.387,34.8,35.8,,,-1.497,53.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T07:00:00Z,18.0,0.0,18.518,20.84,8.36,11.62,,,14.633,14.06,15.05,,,4.118,4.11,4.13,,,,-6.333,,,,-117.318,-89.68,13.923,,,3.129,35.944,35.8,36.2,,,-1.173,82.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T08:00:00Z,21.0,0.0,18.011,21.15,4.55,4.6,,,14.716,14.1,15.02,,,4.12,4.12,4.12,,,,-6.263,,,,-112.805,-89.91,14.035,,,7.956,36.438,36.3,36.6,,,-1.316,110.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T09:00:00Z,26.0,0.0,13.63,14.73,4.149,4.45,,,13.367,12.61,14.51,,,4.104,4.1,4.12,,,,-6.344,,,,-86.456,-81.81,12.727,,,0.0,36.504,36.4,36.6,,,-1.249,140.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T10:00:00Z,30.0,0.0,5.196,13.26,1.423,3.83,,,12.641,12.61,12.67,,,4.089,4.08,4.1,,,,-6.45,,,,-33.509,0.0,12.013,,,1.044,36.197,35.6,36.6,,,-0.558,167.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T11:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,,,12.637,12.61,12.66,,,4.075,4.07,4.08,,,,-6.449,,,,0.0,0.0,12.0,,,1.146,35.473,35.4,35.7,,,0.0,197.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T12:00:00Z,29.0,0.0,0.0,0.0,0.0,0.0,,,12.613,12.59,12.64,,,4.062,4.06,4.07,,,,-6.441,,,,0.0,0.0,11.986,,,0.324,35.286,35.2,35.4,,,0.0,227.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-01T13:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,,,12.601,12.57,12.62,,,4.05,4.04,4.06,,,,-6.439,,,,0.0,0.0,11.97,,,0.0,35.013,34.9,35.2,,,0.0,256.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
