day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2020-06-18,2020-06-18T00:00:00Z,1.0,1.0,1.0,,,,,133.0,133.0,,,,0.744,0.744,,,,258.0,258.0,258.0,,1616.0,1618.0,,,,0.0,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-19,2020-06-19T00:00:00Z,349.0,349.0,13.0,,,,,716.565,844.0,,,,12.171,15.076,,,,300.0,300.0,300.0,,1137.662,-184.087,,,,0.297,,,,,,,,,,1.0,344.0,0.0,0.0,343.0,0.0,349.0,0.0,349.0,0.0,348.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-20,2020-06-20T00:00:00Z,700.0,700.0,24.0,,,,,453.683,890.0,,,,12.152,13.15,,,,300.0,300.0,300.0,,1230.0,-165.572,,,,0.21,,,,,,,,,,345.0,1053.0,0.0,0.0,417.0,0.0,700.0,0.0,700.0,0.0,700.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-21,2020-06-21T00:00:00Z,502.0,502.0,19.0,,,,,650.713,801.0,,,,12.119,12.687,,,,300.0,300.0,300.0,,1230.0,-123.613,,,,0.016,,,,,,,,,,1054.0,1741.0,0.0,0.0,443.0,0.0,502.0,0.0,502.0,0.0,502.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-22,2020-06-22T00:00:00Z,90.0,90.0,4.0,,,,,19.368,642.0,,,,12.062,12.725,,,,300.0,300.0,300.0,,1230.0,-105.874,,,,0.17,,,,,,,,,,1742.0,1831.0,0.0,0.0,4.0,0.0,90.0,0.0,90.0,0.0,90.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-23,2020-06-23T00:00:00Z,596.0,596.0,21.0,,,,,4.711,20.0,,,,12.199,12.857,,,,347.98,300.0,358.0,,-80.738,187.741,,,,0.04,,,,,,,,,,1.0,602.0,0.0,0.0,0.0,0.0,596.0,0.0,596.0,0.0,263.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-24,2020-06-24T00:00:00Z,712.0,712.0,24.0,,,,,5321.541,21766.0,,,,12.185,13.165,,,,6612.392,300.0,7097.0,,-2.498,-64.27,,,,0.332,,,,,,,,,,1.0,669.0,0.0,0.0,634.0,0.0,712.0,0.0,712.0,0.0,223.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-25,2020-06-25T00:00:00Z,715.0,715.0,24.0,,,,,6128.998,22492.0,,,,12.176,12.937,,,,7097.0,7097.0,7097.0,,-5.617,-40.35,,,,0.058,,,,,,,,,,670.0,1390.0,0.0,0.0,715.0,0.0,715.0,0.0,715.0,0.0,56.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-26,2020-06-26T00:00:00Z,712.0,712.0,24.0,,,,,6526.901,22304.0,,,,12.119,12.895,,,,7097.0,7097.0,7097.0,,-5.042,-79.12,,,,0.207,,,,,,,,,,1391.0,2111.0,0.0,0.0,704.0,0.0,712.0,0.0,712.0,0.0,160.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-27,2020-06-27T00:00:00Z,716.0,716.0,24.0,,,,,6553.051,21942.0,,,,12.053,13.169,,,,7097.0,7097.0,7097.0,,0.275,-76.009,,,,0.192,,,,,,,,,,2112.0,2832.0,0.0,0.0,689.0,0.0,716.0,0.0,716.0,0.0,124.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-28,2020-06-28T00:00:00Z,719.0,719.0,24.0,,,,,5378.14,23264.0,,,,12.034,13.411,,,,7097.0,7097.0,7097.0,,3.245,-27.563,,,,0.139,,,,,,,,,,2833.0,3552.0,0.0,0.0,713.0,0.0,719.0,0.0,719.0,0.0,114.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-29,2020-06-29T00:00:00Z,719.0,719.0,24.0,,,,,4325.169,22094.0,,,,12.076,14.778,,,,7097.0,7097.0,7097.0,,3.944,20.914,,,,0.049,,,,,,,,,,3553.0,4273.0,0.0,0.0,718.0,0.0,719.0,0.0,719.0,0.0,71.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-06-30,2020-06-30T00:00:00Z,713.0,713.0,24.0,,,,,5175.096,22515.0,,,,12.091,13.666,,,,7097.0,7097.0,7097.0,,10.232,10.468,,,,0.082,,,,,,,,,,4274.0,4994.0,0.0,0.0,713.0,0.0,713.0,0.0,713.0,0.0,111.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-07-01,2020-07-01T00:00:00Z,708.0,708.0,24.0,,,,,6046.072,23369.0,,,,12.043,14.839,,,,7097.0,7097.0,7097.0,,16.912,29.109,,,,0.056,,,,,,,,,,4995.0,5715.0,0.0,0.0,708.0,0.0,708.0,0.0,708.0,0.0,135.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-07-02,2020-07-02T00:00:00Z,705.0,705.0,24.0,,,,,6274.551,22070.0,,,,11.977,13.245,,,,7097.0,7097.0,7097.0,,24.8,15.621,,,,0.118,,,,,,,,,,5716.0,6434.0,0.0,0.0,677.0,0.0,705.0,0.0,705.0,0.0,168.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-07-03,2020-07-03T00:00:00Z,688.0,688.0,24.0,,,,,6430.637,21579.0,,,,12.072,13.023,,,,7097.0,7097.0,7097.0,,17.254,42.11,,,,0.028,,,,,,,,,,6435.0,7155.0,0.0,0.0,688.0,0.0,688.0,0.0,688.0,0.0,107.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-07-04,2020-07-04T00:00:00Z,707.0,707.0,24.0,,,,,6942.678,22339.0,,,,12.124,12.729,,,,7097.0,7097.0,7097.0,,25.383,44.929,,,,0.0,,,,,,,,,,7156.0,7875.0,0.0,0.0,707.0,0.0,707.0,0.0,707.0,0.0,209.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-07-05,2020-07-05T00:00:00Z,717.0,717.0,24.0,,,,,5535.778,21743.0,,,,11.991,12.824,,,,7097.0,7097.0,7097.0,,13.465,29.221,,,,0.008,,,,,,,,,,7876.0,8596.0,0.0,0.0,707.0,0.0,717.0,0.0,717.0,0.0,117.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-07-06,2020-07-06T00:00:00Z,719.0,719.0,24.0,,,,,6167.492,23006.0,,,,12.072,12.909,,,,7097.0,7097.0,7097.0,,19.744,42.483,,,,0.011,,,,,,,,,,8597.0,9318.0,0.0,0.0,718.0,0.0,719.0,0.0,719.0,0.0,142.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
2020-07-07,2020-07-07T00:00:00Z,714.0,714.0,24.0,,,,,6986.047,22421.0,,,,11.92,13.411,,,,7097.0,7097.0,7097.0,,28.256,0.312,,,,0.141,,,,,,,,,,9319.0,10039.0,0.0,0.0,713.0,0.0,714.0,0.0,714.0,0.0,183.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,battery2_v
