ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2020-05-30T06:00:00Z,1.0,1.0,34.034,34.034,,,,,2.085,2.085,2.085,,,0.001,0.001,0.001,,,,,797.0,440.0,,,,4.154,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T00:00:00Z,1.0,1.0,1.945,1.945,,,,,3.056,3.056,3.056,,,4.19,4.19,4.19,,,,,2870.0,2722.0,,,,2.99,,,563.0,,,,,,,97.0,97.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T03:00:00Z,3.0,3.0,2.155,2.464,,,,,2.723,2.039,3.074,,,1.414,0.001,4.238,,,,,2886.667,2732.0,,,,5.202,,,1272.667,,,,,,,1.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T04:00:00Z,5.0,5.0,12.765,13.178,,,,,12.391,11.9,12.699,,,5.177,4.212,6.6,,,,,974.8,1110.4,,,,3.3,,,1746.2,,,,,,,1.0,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T08:00:00Z,3.0,3.0,1.952,2.011,,,,,2.199,2.039,2.293,,,5.813,4.238,6.6,,,,,2883.333,2731.333,,,,3.204,,,2281.667,,,,,,,1.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T09:00:00Z,56.0,56.0,6.188,12.586,,,,,6.244,1.917,12.473,,,4.192,4.166,4.242,,,,,2059.911,2055.661,,,,3.127,,,732.429,,,,,,,2.0,59.0,56.0,0.0,0.0,56.0,0.0,56.0,0.0,0.0,56.0,56.0,0.0,0.0,56.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T10:00:00Z,56.0,56.0,6.436,15.171,,,,,6.126,1.861,11.815,,,4.174,4.156,4.186,,,,,2025.821,1841.0,,,,2.964,,,668.304,,,,,,,61.0,117.0,56.0,0.0,0.0,56.0,0.0,56.0,0.0,0.0,56.0,52.0,0.0,0.0,56.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T11:00:00Z,55.0,55.0,1.017,11.11,,,,,10.795,10.64,10.941,,,4.164,4.15,4.182,,,,,1057.091,1057.818,,,,2.237,,,444.564,,,,,,,119.0,174.0,12.0,0.0,0.0,55.0,0.0,55.0,0.0,0.0,55.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T12:00:00Z,57.0,57.0,0.0,0.0,,,,,10.684,10.49,11.693,,,4.156,4.136,4.174,,,,,1056.351,1056.614,,,,2.269,,,455.877,,,,,,,175.0,232.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,57.0,57.0,0.0,0.0,57.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
2020-06-05T13:00:00Z,57.0,57.0,0.0,0.0,,,,,11.701,11.59,11.815,,,4.151,4.134,4.17,,,,,974.632,975.789,,,,3.3,,,951.123,,,,,,,233.0,290.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,57.0,57.0,0.0,0.0,57.0,0.0,0.0,0.0,"solar_v,battery_v,load_v,lipo_v"
