ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2022-03-05T03:00:00Z,18.0,18.0,,,0.0,0.0,,,,,,,,,,,3.494,2.433,3.79,,,,224.389,0.0,0.0,,,,,36.539,35.5,39.3,,,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T04:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,3.944,3.8,4.029,,,,236.69,0.0,0.0,,,,,34.986,34.5,35.5,,,0.0,19.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T05:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.092,4.032,4.13,,,,235.929,0.0,0.0,,,,,31.921,30.0,34.4,,,0.0,48.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T06:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.139,4.128,4.153,,,,244.138,0.0,0.0,,,,,29.138,28.6,29.9,,,0.0,76.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T07:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.163,4.153,4.171,,,,244.931,0.0,0.0,,,,,27.997,27.5,28.6,,,0.0,105.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T08:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.168,4.144,4.182,,,,235.276,0.0,0.0,,,,,27.538,27.4,27.7,,,0.0,134.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T09:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.137,4.133,4.144,,,,237.75,0.0,0.0,,,,,27.493,27.4,27.6,,,0.0,163.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T10:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.132,4.128,4.133,,,,241.793,0.0,0.0,,,,,28.741,27.5,29.9,,,0.0,191.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T11:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.127,4.125,4.131,,,,238.143,0.0,0.0,,,,,30.136,30.0,30.3,,,0.0,220.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T12:00:00Z,27.0,27.0,,,0.0,0.0,,,,,,,,,,,4.123,4.12,4.126,,,,243.852,0.0,0.0,,,,,29.967,28.7,30.6,,,0.0,249.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T13:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.12,4.118,4.123,,,,235.5,0.0,0.0,,,,,28.046,27.7,28.6,,,0.0,277.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T14:00:00Z,25.0,25.0,,,0.0,0.0,,,,,,,,,,,4.117,4.113,4.12,,,,236.72,0.0,0.0,,,,,27.584,27.4,27.7,,,0.0,306.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T15:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.116,4.113,4.118,,,,238.75,0.0,0.0,,,,,27.418,27.4,27.5,,,0.0,335.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T16:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.115,4.113,4.116,,,,240.31,0.0,0.0,,,,,27.4,27.4,27.4,,,0.0,363.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T17:00:00Z,26.0,26.0,,,0.0,0.0,,,,,,,,,,,4.114,4.111,4.116,,,,243.885,0.0,0.0,,,,,28.388,27.4,29.4,,,0.0,392.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T18:00:00Z,27.0,27.0,,,0.0,0.0,,,,,,,,,,,4.113,4.111,4.115,,,,237.704,0.0,0.0,,,,,29.874,29.5,30.1,,,0.0,420.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T19:00:00Z,26.0,26.0,,,0.0,0.0,,,,,,,,,,,4.112,4.11,4.115,,,,235.654,0.0,0.0,,,,,30.1,30.1,30.1,,,0.0,449.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T20:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.111,4.11,4.113,,,,237.276,0.0,0.0,,,,,30.097,30.0,30.1,,,0.0,477.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T21:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.11,4.106,4.113,,,,241.103,0.0,0.0,,,,,30.1,30.1,30.1,,,0.0,506.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T22:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.109,4.106,4.111,,,,240.893,0.0,0.0,,,,,30.104,30.1,30.2,,,0.0,535.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-05T23:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.108,4.106,4.111,,,,237.517,0.0,0.0,,,,,30.162,30.1,30.2,,,0.0,563.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T00:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.107,4.106,4.11,,,,244.448,0.0,0.0,,,,,30.266,30.2,30.4,,,0.0,592.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T01:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.107,4.106,4.108,,,,242.25,0.0,0.0,,,,,30.446,30.3,30.6,,,0.0,621.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T02:00:00Z,29.0,29.0,,,3.613,5.079,,,,,,,,,,,4.095,4.088,4.108,,,,227.207,0.0,0.0,,,,,40.766,30.6,48.7,,,0.0,649.0,677.0,0.0,21.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,14.0,"solar2_v,lipo2_v"
2022-03-06T03:00:00Z,29.0,29.0,,,4.971,5.113,,,,,,,,,,,4.091,4.09,4.093,,,,215.276,0.0,0.0,,,,,49.028,47.3,50.1,,,0.0,678.0,706.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,"solar2_v,lipo2_v"
2022-03-06T04:00:00Z,28.0,28.0,,,4.887,5.064,,,,,,,,,,,4.088,4.085,4.09,,,,216.393,0.0,0.0,,,,,48.511,46.4,50.2,,,0.0,707.0,734.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,"solar2_v,lipo2_v"
2022-03-06T05:00:00Z,29.0,29.0,,,4.911,5.02,,,,,,,,,,,4.085,4.083,4.087,,,,217.724,0.0,0.0,,,,,47.555,45.5,49.2,,,0.0,735.0,763.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,"solar2_v,lipo2_v"
2022-03-06T06:00:00Z,29.0,29.0,,,4.197,4.877,,,,,,,,,,,4.084,4.082,4.087,,,,216.517,0.0,0.0,,,,,46.955,44.6,48.7,,,0.0,764.0,792.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,24.0,"solar2_v,lipo2_v"
2022-03-06T07:00:00Z,29.0,29.0,,,2.415,4.236,,,,,,,,,,,4.082,4.08,4.083,,,,220.552,0.0,0.0,,,,,42.152,39.4,46.0,,,0.0,793.0,821.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,5.0,"solar2_v,lipo2_v"
2022-03-06T08:00:00Z,29.0,29.0,,,0.886,1.026,,,,,,,,,,,4.08,4.078,4.082,,,,225.793,0.0,0.0,,,,,37.862,36.3,39.3,,,0.0,822.0,850.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T09:00:00Z,28.0,28.0,,,0.541,0.708,,,,,,,,,,,4.077,4.075,4.078,,,,227.536,0.0,0.0,,,,,35.139,33.7,36.2,,,0.0,851.0,878.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T10:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.074,4.07,4.077,,,,227.034,0.0,0.0,,,,,32.234,31.4,33.4,,,0.0,879.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T11:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.071,4.069,4.073,,,,234.379,0.0,0.0,,,,,31.159,30.7,31.4,,,0.0,908.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T12:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.069,4.067,4.072,,,,230.69,0.0,0.0,,,,,30.445,30.1,30.7,,,0.0,937.0,965.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T13:00:00Z,27.0,27.0,,,0.0,0.0,,,,,,,,,,,4.067,4.065,4.069,,,,232.667,0.0,0.0,,,,,30.107,30.1,30.2,,,0.0,966.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T14:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.065,4.062,4.067,,,,232.207,0.0,0.0,,,,,30.034,29.9,30.1,,,0.0,994.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T15:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.062,4.06,4.065,,,,235.679,0.0,0.0,,,,,29.75,29.6,30.1,,,0.0,1023.0,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T16:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.06,4.059,4.062,,,,234.138,0.0,0.0,,,,,29.314,29.1,29.6,,,0.0,1052.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T17:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.059,4.057,4.062,,,,234.25,0.0,0.0,,,,,28.986,28.9,29.1,,,0.0,1081.0,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T18:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.057,4.055,4.059,,,,231.724,0.0,0.0,,,,,29.003,28.9,29.1,,,0.0,1109.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T19:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.056,4.054,4.059,,,,233.034,0.0,0.0,,,,,28.855,28.7,29.0,,,0.0,1138.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T20:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.054,4.052,4.055,,,,231.5,0.0,0.0,,,,,28.639,28.6,28.7,,,0.0,1167.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T21:00:00Z,29.0,29.0,,,0.0,0.0,,,,,,,,,,,4.053,4.052,4.055,,,,235.276,0.0,0.0,,,,,28.379,28.2,28.6,,,0.0,1195.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2022-03-06T22:00:00Z,28.0,28.0,,,0.0,0.0,,,,,,,,,,,4.052,4.05,4.054,,,,234.929,0.0,0.0,,,,,28.432,28.2,28.6,,,0.0,1224.0,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
