day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2020-05-16,2020-05-16T00:00:00Z,238.0,238.0,9.0,,,,,,,,,,,,2.674,2.583,3.27,,,,,,,,,,,,,,,,,999.457,416.441,,,,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17,2020-05-17T00:00:00Z,698.0,698.0,24.0,,,,,,,,,,,,2.872,2.579,11.065,,,,,,,,,,,,,,,,,3205.068,1335.445,,,,0.0,0.0,0.0,0.0,0.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-18,2020-05-18T00:00:00Z,627.0,627.0,24.0,,,,,,,,,,,,3.203,2.585,13.637,,,,,,,,,,,,,,,,,2630.512,1038.168,,,,0.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-19,2020-05-19T00:00:00Z,699.0,699.0,24.0,,,,,,,,,,,,3.792,3.765,3.879,,,,,,,,,,,,,,,,,3078.074,1060.664,,,,0.0,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-20,2020-05-20T00:00:00Z,694.0,694.0,24.0,,,,,,,,,,,,3.772,3.754,3.851,,,,,,,,,,,,,,,,,3225.026,1119.975,,,,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-21,2020-05-21T00:00:00Z,700.0,700.0,24.0,,,,,,,,,,,,3.766,3.732,3.853,,,,,,,,,,,,,,,,,3023.112,1038.477,,,,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-22,2020-05-22T00:00:00Z,699.0,699.0,24.0,,,,,,,,,,,,3.753,3.729,3.818,,,,,,,,,,,,,,,,,1247.062,321.719,,,,0.0,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-23,2020-05-23T00:00:00Z,696.0,696.0,24.0,,,,,,,,,,,,3.74,3.711,3.815,,,,,,,,,,,,,,,,,782.451,134.21,,,,0.0,0.0,0.0,0.0,0.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-24,2020-05-24T00:00:00Z,692.0,692.0,24.0,,,,,,,,,,,,3.732,3.704,3.8,,,,,,,,,,,,,,,,,1599.119,463.816,,,,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-25,2020-05-25T00:00:00Z,691.0,691.0,24.0,,,,,,,,,,,,3.715,3.676,3.793,,,,,,,,,,,,,,,,,1378.047,374.572,,,,0.0,0.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
