ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2020-05-16T15:00:00Z,4.0,4.0,,,,,,,,,,,,2.646,2.586,2.719,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T16:00:00Z,30.0,30.0,,,,,,,,,,,,2.705,2.585,3.106,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T17:00:00Z,29.0,29.0,,,,,,,,,,,,2.7,2.589,3.27,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T18:00:00Z,29.0,29.0,,,,,,,,,,,,2.666,2.583,3.032,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T19:00:00Z,29.0,29.0,,,,,,,,,,,,2.661,2.591,2.788,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T20:00:00Z,30.0,30.0,,,,,,,,,,,,2.663,2.588,3.051,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T21:00:00Z,29.0,29.0,,,,,,,,,,,,2.69,2.589,3.051,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T22:00:00Z,29.0,29.0,,,,,,,,,,,,2.661,2.589,3.037,,,,,,,,,,,,,,,,,1451.834,604.931,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-16T23:00:00Z,29.0,29.0,,,,,,,,,,,,2.675,2.589,3.108,,,,,,,,,,,,,,,,,7543.283,3143.034,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T00:00:00Z,30.0,30.0,,,,,,,,,,,,2.656,2.591,2.788,,,,,,,,,,,,,,,,,9050.8,3771.167,,,,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T01:00:00Z,29.0,29.0,,,,,,,,,,,,2.733,2.601,3.048,,,,,,,,,,,,,,,,,9291.89,3871.621,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T02:00:00Z,29.0,29.0,,,,,,,,,,,,2.694,2.593,3.215,,,,,,,,,,,,,,,,,9668.11,4028.379,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T03:00:00Z,29.0,29.0,,,,,,,,,,,,2.698,2.592,2.931,,,,,,,,,,,,,,,,,9490.014,3954.172,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T04:00:00Z,30.0,30.0,,,,,,,,,,,,2.721,2.599,3.204,,,,,,,,,,,,,,,,,9668.32,4028.467,,,,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T05:00:00Z,29.0,29.0,,,,,,,,,,,,2.884,2.679,3.23,,,,,,,,,,,,,,,,,9828.0,4095.0,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T06:00:00Z,29.0,29.0,,,,,,,,,,,,3.259,2.661,8.616,,,,,,,,,,,,,,,,,7412.359,3088.483,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T07:00:00Z,29.0,29.0,,,,,,,,,,,,2.913,2.786,3.115,,,,,,,,,,,,,,,,,3573.848,1489.103,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T08:00:00Z,28.0,28.0,,,,,,,,,,,,2.888,2.715,3.139,,,,,,,,,,,,,,,,,1332.686,555.286,,,,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T09:00:00Z,29.0,29.0,,,,,,,,,,,,2.919,2.803,3.095,,,,,,,,,,,,,,,,,43.2,18.0,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
2020-05-17T10:00:00Z,29.0,29.0,,,,,,,,,,,,2.909,2.813,2.993,,,,,,,,,,,,,,,,,0.331,0.138,,,,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lipo_v
